departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
NORTE DE SANTANDER,54,TEORAMA,54800,Rural,Vereda El Cobre,2006,2,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,8.437183,-73.287706,Accidente por MAP,"(8.437183, -73.287706)",Fuerza pública
NORTE DE SANTANDER,54,TEORAMA,54800,Rural,Vereda El Cobre,2006,2,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,8.437183,-73.287706,Accidente por MAP,"(8.437183, -73.287706)",Fuerza pública
NORTE DE SANTANDER,54,TOLEDO,54820,Rural,Vereda El Arrayanal,2005,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,7.311003,-72.484092,Accidente por MAP,"(7.311003, -72.484092)",Fuerza pública
CAQUETA,18,FLORENCIA,18001,Rural,Sin información,2002,11,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.621012,-75.619118,Accidente por MAP,"(1.621012, -75.619118)",Fuerza pública
ANTIOQUIA,5,SONSÓN,5756,Rural,Vereda Perillo,2006,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.566944,-75.311667,Accidente por MAP,"(5.566944, -75.311667)",Fuerza pública
NARIÑO,52,SAMANIEGO,52678,Rural,Sin información,2006,4,Mayor de 18 años,No,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)","Pasando, estando cerca"
META,50,SAN JUAN DE ARAMA,50683,Rural,Carretera Via Costa Rica,2006,3,Mayor de 18 años,No,Civil,Herido,Femenino,3.233389,-73.870988,Accidente por MAP,"(3.233389, -73.870988)","Pasando, estando cerca"
ANTIOQUIA,5,SANTA FE ANTIOQUIA,5042,Rural,Vereda Los Azules,2003,7,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,6.558578,-75.825988,Accidente por MAP,"(6.558578, -75.825988)",Fuerza pública
TOLIMA,73,PLANADAS,73555,Rural,Vereda Puerto Limón,2007,7,Menor de 18 años,No,Civil,Herido,Masculino,3.197458,-75.643224,Accidente por MAP,"(3.197458, -75.643224)","Pasando, estando cerca"
CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,Rural,Sitio La Unión,2007,7,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,2.634167,-74.906944,Accidente por MAP,"(2.634167, -74.906944)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,Rural,Vereda La Campana,2003,2,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,2.120008,-74.768227,Accidente por MAP,"(2.120008, -74.768227)",Fuerza pública
BOLIVAR,13,SAN JUAN NEPOMUCENO,13657,Rural,Sector Tierra Nueva,2006,9,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,9.975293,-75.079784,Accidente por MAP,"(9.975293, -75.079784)",Fuerza pública
ANTIOQUIA,5,DABEIBA,5234,Rural,Alto El Loro,2007,5,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,7.115556,-76.255278,Accidente por MAP,"(7.115556, -76.255278)",Fuerza pública
ANTIOQUIA,5,DABEIBA,5234,Rural,Alto El Loro,2007,5,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,7.115556,-76.255278,Accidente por MAP,"(7.115556, -76.255278)","Caza, pesca"
ANTIOQUIA,5,DABEIBA,5234,Rural,Alto El Loro,2007,5,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,7.115556,-76.255278,Accidente por MAP,"(7.115556, -76.255278)",Fuerza pública
NARIÑO,52,CUMBITARA,52233,Rural,Sin información,2006,2,Mayor de 18 años,No,Civil,Herido,Masculino,1.64746,-77.579056,Accidente por MAP,"(1.64746, -77.579056)",Sin Información
VAUPES,97,MITÚ,97001,Rural,Mitú - Vía Bocatoma,2002,8,Mayor de 18 años,No,Civil,Muerto,Femenino,1.249969,-70.235462,Accidente por MAP,"(1.249969, -70.235462)",Agricultura
VAUPES,97,MITÚ,97001,Rural,Mitú - Vía Bocatoma,2002,8,Menor de 18 años,No,Civil,Herido,Femenino,1.249969,-70.235462,Accidente por MAP,"(1.249969, -70.235462)",Otra
TOLIMA,73,DOLORES,73236,Urbana,Sin información,2002,7,Menor de 18 años,No,Civil,Herido,Masculino,3.539477,-74.897326,Accidente por MUSE,"(3.539477, -74.897326)","Pasando, estando cerca"
TOLIMA,73,DOLORES,73236,Urbana,Sin información,2002,7,Menor de 18 años,No,Civil,Herido,Femenino,3.539477,-74.897326,Accidente por MUSE,"(3.539477, -74.897326)","Pasando, estando cerca"
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Vereda Caraño,2007,3,Mayor de 18 años,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Sin Información
ANTIOQUIA,5,NARIÑO,5483,Rural,Sin información,2008,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.609351,-75.176737,Accidente por MAP,"(5.609351, -75.176737)",Fuerza pública
TOLIMA,73,PLANADAS,73555,Rural,Vereda San Miguel,2006,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.027778,-75.737778,Accidente por MAP,"(3.027778, -75.737778)",Fuerza pública
TOLIMA,73,PLANADAS,73555,Rural,Vereda San Miguel,2006,12,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,3.027778,-75.737778,Accidente por MAP,"(3.027778, -75.737778)",Fuerza pública
TOLIMA,73,PLANADAS,73555,Rural,Vereda San Miguel,2006,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.027778,-75.737778,Accidente por MAP,"(3.027778, -75.737778)",Fuerza pública
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda San Jorge,2007,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,6.098889,-74.859444,Accidente por MAP,"(6.098889, -74.859444)",Fuerza pública
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda San Jorge,2007,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,6.098889,-74.859444,Accidente por MAP,"(6.098889, -74.859444)",Fuerza pública
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,Rural,El Cerro Romerillo,2005,11,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Fuerza pública
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,Rural,El Cerro Romerillo,2005,11,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Fuerza pública
BOLIVAR,13,CANTAGALLO,13160,Rural,Vereda Lejanias,2003,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,7.379167,-73.918975,Accidente por MAP,"(7.379167, -73.918975)",Fuerza pública
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,Rural,Montes De María,2003,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Fuerza pública
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,Rural,Montes De María,2003,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Fuerza pública
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,Rural,Montes De María,2003,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
META,50,LEJANÍAS,50400,Rural,Sin información,1996,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.517426,-74.003888,Accidente por MAP,"(3.517426, -74.003888)",Fuerza pública
SUCRE,70,SUCRE,70771,Rural,Finca El Vaticano,2004,4,Mayor de 18 años,No,Civil,Muerto,Masculino,8.81055,-74.722467,Accidente por MAP,"(8.81055, -74.722467)","Pasando, estando cerca"
ANTIOQUIA,5,CAMPAMENTO,5134,Rural,Sin información,2001,12,Mayor de 18 años,No,Civil,Muerto,Masculino,6.979151,-75.296386,Accidente por MAP,"(6.979151, -75.296386)",Sin Información
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,El Castillo,2005,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.931667,-75.037778,Accidente por MAP,"(5.931667, -75.037778)",Fuerza pública
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,El Castillo,2005,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.931667,-75.037778,Accidente por MAP,"(5.931667, -75.037778)",Fuerza pública
CUNDINAMARCA,25,GUAYABAL DE SÍQUIMA,25328,Rural,Vereda Torre Centro,2003,7,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,4.877547,-74.466984,Accidente por MAP,"(4.877547, -74.466984)",Fuerza pública
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
